,0,1
0,PHP,PHP
1,MySQL,MySQL
2,JavaScript,JavaScript
3,HTML,HTML
4,WordPress,WordPress
5,CSS,CSS
6,API,API
7,Python,Python
8,Laravel,Laravel
9,Bootstrap,Bootstrap
10,Ver menos,Ver menos
11,React Native,React Native
12,React.js,React.js
13,Node.js,Node.js
14,HTML5,HTML5
15,Ruby on Rails,Ruby on Rails
16,Ruby,Ruby
17,Android,Android
18,CakePHP,CakePHP
19,Django,Django
20,Vue.js,Vue.js
21,Java,Java
22,Opencart,Opencart
23,CodeIgniter,CodeIgniter
24,Electron,Electron
25,CSS3,CSS3
26,Design Gráfico,Design Gráfico
27,Adobe Illustrator,Adobe Illustrator
28,Adobe Photoshop,Adobe Photoshop
29,Database,Database
30,Desenvolvimento Web,Desenvolvimento Web
31,SQL,SQL
32,Oracle,Oracle
33,SQL Server,SQL Server
34,Linux,Linux
35,PL/SQL,PL/SQL
36,Programação de Games,Programação de Games
37,Desenvolvimento de Games,Desenvolvimento de Games
38,VBA,VBA
39,Lojas Virtuais (e-commerce),Lojas Virtuais (e-commerce)
40,SEO,SEO
41,jQuery,jQuery
42,Pentaho,Pentaho
43,C++,C++
44,JIRA,JIRA
45,LESS/SASS/SCSS,LESS/SASS/SCSS
46,MongoDB,MongoDB
47,PSD to HTML,PSD to HTML
48,C#,C#
49,iOS,iOS
50,Blockchain,Blockchain
51,Design de App Mobile,Design de App Mobile
52,Web Design,Web Design
53,Technical Support,Technical Support
54,Edição,Edição
55,PostgresSQL,PostgresSQL
56,AngularJS,AngularJS
57,VB.NET,VB.NET
58,Aplicativos desktop,Aplicativos desktop
59,Socket IO,Socket IO
60,Software Testing,Software Testing
61,Google Maps,Google Maps
62,XHTML,XHTML
63,Xamarin,Xamarin
64,Java Server Faces (JSF),Java Server Faces (JSF)
65,Spring Security,Spring Security
66,Windows,Windows
67,Microsoft Excel,Microsoft Excel
68,Microsoft Word,Microsoft Word
69,JSON,JSON
70,Inteligência artificial,Inteligência artificial
71,SOAP,SOAP
72,Amazon Web Services,Amazon Web Services
73,Geolocation,Geolocation
74,PayPal,PayPal
75,Gestão de Projetos,Gestão de Projetos
76,MVC,MVC
77,Inglês,Inglês
78,Inteligência empresarial,Inteligência empresarial
79,C,C
80,.NET,.NET
81,Objective-C,Objective-C
82,Swift,Swift
83,Magento,Magento
84,AJAX,AJAX
85,Responsive Web Design,Responsive Web Design
86,Frontpage,Frontpage
87,Web Services,Web Services
88,Git,Git
89,LAMP,LAMP
90,Microsoft Windows Server,Microsoft Windows Server
91,Delphi,Delphi
92,E-mail marketing,E-mail marketing
93,Programação de Redes,Programação de Redes
94,Criptomoeda,Criptomoeda
95,Bitcoin,Bitcoin
96,Flutter,Flutter
97,VMware,VMware
98,cPanel,cPanel
99,Engenheiro de Redes,Engenheiro de Redes
100,Security Engineer,Security Engineer
101,Docker,Docker
102,Haskell,Haskell
103,Material Design,Material Design
104,User Experience Design,User Experience Design
105,Edição de vídeo,Edição de vídeo
106,Produção de Vídeo,Produção de Vídeo
107,Qt,Qt
108,ASPNET,ASPNET
109,Scrum,Scrum
110,Modelagem de Dados,Modelagem de Dados
111,Informatica,Informatica
112,OpenGL,OpenGL
113,Firebase,Firebase
114,iPhone,iPhone
115,Dart,Dart
116,Data Science,Data Science
117,Machine Learning,Machine Learning
118,Oracle 11g,Oracle 11g
119,Active Directory,Active Directory
120,DB2,DB2
121,Hibernate,Hibernate
122,Ionic Framework,Ionic Framework
123,Spring Framework,Spring Framework
124,Data Entry,Data Entry
125,Kotlin,Kotlin
126,Go Lang,Go Lang
127,CentOS,CentOS
128,Escrita de artigos,Escrita de artigos
129,Unity 3D,Unity 3D
130,Realidade Aumentada,Realidade Aumentada
